report,duration_ms,tensor_active_pct,sm_throughput_pct,dram_throughput_pct,l1tex_throughput_pct,l2_hit_pct,active_warps_per_sm,eligible_warps_per_scheduler,issued_warps_per_scheduler,long_scoreboard,short_scoreboard,barrier,mio_throttle,math_pipe,not_selected,registers_per_thread,dynamic_smem_kbytes,achieved_occupancy_pct,local_spilling_requests
results/profile/final_v16_g128.ncu-rep,2.739584,44.069094,44.069094,4.870424,39.059269,96.828747,19.214442,0.574227,0.36,0.156288,0.260402,1.185602,0.428063,7.523079,0.581783,94,14.848000,40.030088,0
results/profile/final_v16_g32.ncu-rep,2.687360,44.931614,44.931614,4.744060,33.059964,96.505796,19.231434,0.491809,0.33,0.053299,0.234204,2.611318,0.277916,7.492318,0.482882,96,12.816000,40.065488,0
results/profile/v00_g32.ncu-rep,270.820800,0,73.482147,0.323629,42.765189,97.094207,47.915859,5.176037,0.74,0.679747,0.078750,0,0.016748,4.705664,6.041044,38,0,99.824706,0
results/profile/v03_g32.ncu-rep,6.296672,19.141023,24.672223,2.002508,68.825768,94.881009,23.550345,0.408687,0.25,9.136428,5.139243,1.772020,2.665338,1.127347,0.632049,62,32.768000,49.063219,0
results/profile/v04a_g32.ncu-rep,6.221600,19.365956,24.731073,1.964401,69.928818,94.086678,23.562400,0.411452,0.25,9.158484,5.212108,1.718031,2.628132,1.117907,0.646362,62,32.768000,49.088333,0
results/profile/v09s2_g32.ncu-rep,4.928096,24.456070,24.456070,2.555519,78.322288,96.794539,11.891249,0.239004,0.21,1.524187,6.614298,0.536063,0.412734,0.977259,0.141030,93,32.768000,24.773436,0
results/profile/v11d_g32.ncu-rep,3.187808,37.873374,37.873374,3.463426,36.509358,95.634548,11.732287,0.412796,0.34,0.844189,1.869617,0.190639,0.051586,1.709586,0.216074,94,32.768000,24.442265,0
